geo;freq;siec;nrg_cons;unit;tax;currency;period;value;year;semester
EA;S;E7000;KWH_LT1000;KWH;I_TAX;EUR;2007-S1;0.323;2007;S1
HR;S;E7000;KWH_LT1000;KWH;I_TAX;EUR;2007-S1;0.1481;2007;S1
LU;S;E7000;KWH_LT1000;KWH;I_TAX;EUR;2007-S1;0.2953;2007;S1
SE;S;E7000;KWH_LT1000;KWH;I_TAX;EUR;2007-S1;0.2715;2007;S1
CZ;S;E7000;KWH_LT1000;KWH;X_TAX;EUR;2007-S1;0.1769;2007;S1
DE;S;E7000;KWH_LT1000;KWH;X_TAX;EUR;2007-S1;0.2211;2007;S1
EA;S;E7000;KWH_LT1000;KWH;X_TAX;EUR;2007-S1;0.2243;2007;S1
HR;S;E7000;KWH_LT1000;KWH;X_TAX;EUR;2007-S1;0.1223;2007;S1
LU;S;E7000;KWH_LT1000;KWH;X_TAX;EUR;2007-S1;0.2706;2007;S1
NL;S;E7000;KWH_LT1000;KWH;X_TAX;EUR;2007-S1;0.2424;2007;S1
SE;S;E7000;KWH_LT1000;KWH;X_TAX;EUR;2007-S1;0.1894;2007;S1
CZ;S;E7000;KWH_LT1000;KWH;X_VAT;EUR;2007-S1;0.1769;2007;S1
DE;S;E7000;KWH_LT1000;KWH;X_VAT;EUR;2007-S1;0.2715;2007;S1
EA;S;E7000;KWH_LT1000;KWH;X_VAT;EUR;2007-S1;0.2715;2007;S1
HR;S;E7000;KWH_LT1000;KWH;X_VAT;EUR;2007-S1;0.1223;2007;S1
LU;S;E7000;KWH_LT1000;KWH;X_VAT;EUR;2007-S1;0.2786;2007;S1
SE;S;E7000;KWH_LT1000;KWH;X_VAT;EUR;2007-S1;0.2173;2007;S1
AT;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.2008;2007;S2
BE;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.1867;2007;S2
BG;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.0721;2007;S2
CY;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.1554;2007;S2
CZ;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.1618;2007;S2
DE;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.234;2007;S2
DK;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.2676;2007;S2
EA;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.1746;2007;S2
EE;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.0799;2007;S2
EL;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.0931;2007;S2
ES;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.1622;2007;S2
FI;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.14;2007;S2
FR;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.1433;2007;S2
HR;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.1093;2007;S2
HU;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.1503;2007;S2
IE;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.2242;2007;S2
LT;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.0901;2007;S2
LU;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.184;2007;S2
LV;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.0729;2007;S2
MT;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.0459;2007;S2
NL;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.1359;2007;S2
NO;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.2272;2007;S2
PL;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.1408;2007;S2
PT;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.1552;2007;S2
RO;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.117;2007;S2
SE;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.1734;2007;S2
SI;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.131;2007;S2
SK;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.1615;2007;S2
TR;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.0901;2007;S2
UK;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S2;0.163;2007;S2
AT;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.1426;2007;S2
BE;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.1424;2007;S2
BG;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.0603;2007;S2
CY;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.1331;2007;S2
CZ;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.1358;2007;S2
DE;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.1474;2007;S2
DK;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.1247;2007;S2
EA;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.1287;2007;S2
EE;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.0665;2007;S2
EL;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.0851;2007;S2
ES;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.1332;2007;S2
FI;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.1073;2007;S2
FR;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.1098;2007;S2
HR;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.0875;2007;S2
HU;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.1129;2007;S2
IE;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.1975;2007;S2
LT;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.0764;2007;S2
LU;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.1626;2007;S2
LV;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.0695;2007;S2
MT;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.0438;2007;S2
NL;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.1501;2007;S2
NO;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.1688;2007;S2
PL;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.1088;2007;S2
PT;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.118;2007;S2
RO;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.0978;2007;S2
SE;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.1111;2007;S2
SI;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.0992;2007;S2
SK;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.1358;2007;S2
TR;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.0706;2007;S2
UK;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S2;0.1552;2007;S2
AT;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.1688;2007;S2
BE;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.1664;2007;S2
BG;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.0603;2007;S2
CY;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.1354;2007;S2
CZ;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.1358;2007;S2
DE;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.1961;2007;S2
DK;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.214;2007;S2
EA;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.1494;2007;S2
EE;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.0677;2007;S2
EL;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.0851;2007;S2
ES;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.14;2007;S2
FI;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.1147;2007;S2
FR;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.1241;2007;S2
HR;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.0888;2007;S2
HU;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.1252;2007;S2
IE;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.1975;2007;S2
LT;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.0764;2007;S2
LU;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.1739;2007;S2
LV;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.0695;2007;S2
MT;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.0438;2007;S2
NL;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.1142;2007;S2
NO;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.1817;2007;S2
PL;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.1154;2007;S2
PT;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.1478;2007;S2
RO;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.0978;2007;S2
SE;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.1387;2007;S2
SI;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.1091;2007;S2
SK;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.1358;2007;S2
TR;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.0764;2007;S2
UK;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S2;0.1552;2007;S2
AT;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.174;2007;S2
BE;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.1683;2007;S2
BG;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.0721;2007;S2
CY;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.1573;2007;S2
CZ;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.1176;2007;S2
DE;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.2105;2007;S2
DK;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.2401;2007;S2
EA;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.1569;2007;S2
EE;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.0786;2007;S2
EL;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.0984;2007;S2
ES;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.14;2007;S2
FI;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.1149;2007;S2
FR;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.1222;2007;S2
HR;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.0984;2007;S2
HU;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.1296;2007;S2
IE;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.1918;2007;S2
LT;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.087;2007;S2
LU;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.1645;2007;S2
LV;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.0729;2007;S2
MT;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.0918;2007;S2
NL;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.1741;2007;S2
NO;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.1498;2007;S2
PL;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.138;2007;S2
PT;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.1562;2007;S2
RO;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.1141;2007;S2
SE;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.1613;2007;S2
SI;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.1116;2007;S2
SK;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.137;2007;S2
TR;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.0901;2007;S2
UK;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S2;0.1481;2007;S2
AT;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.1255;2007;S2
BE;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.1286;2007;S2
BG;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.0603;2007;S2
CY;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.1349;2007;S2
CZ;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.099;2007;S2
DE;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.1279;2007;S2
DK;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.1027;2007;S2
EA;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.1121;2007;S2
EE;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.0652;2007;S2
EL;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.09;2007;S2
ES;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.1152;2007;S2
FI;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.0868;2007;S2
FR;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.0924;2007;S2
HR;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.0793;2007;S2
HU;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.0957;2007;S2
IE;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.169;2007;S2
LT;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.0737;2007;S2
LU;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.1442;2007;S2
LV;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.0695;2007;S2
MT;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.0874;2007;S2
NL;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.1289;2007;S2
NO;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.1069;2007;S2
PL;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.1069;2007;S2
PT;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.1206;2007;S2
RO;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.0954;2007;S2
SE;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.1013;2007;S2
SI;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.0861;2007;S2
SK;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.1152;2007;S2
TR;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.0706;2007;S2
UK;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S2;0.1411;2007;S2
AT;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.1462;2007;S2
BE;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.1423;2007;S2
BG;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.0603;2007;S2
CY;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.1371;2007;S2
CZ;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.099;2007;S2
DE;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.1764;2007;S2
DK;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.1921;2007;S2
EA;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.1337;2007;S2
EE;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.0665;2007;S2
EL;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.09;2007;S2
ES;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.1211;2007;S2
FI;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.0942;2007;S2
FR;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.1049;2007;S2
HR;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.0806;2007;S2
HU;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.108;2007;S2
IE;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.169;2007;S2
LT;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.0737;2007;S2
LU;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.1552;2007;S2
LV;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.0695;2007;S2
MT;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.0874;2007;S2
NL;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.1463;2007;S2
NO;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.1199;2007;S2
PL;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.1131;2007;S2
PT;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.1488;2007;S2
RO;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.0954;2007;S2
SE;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.129;2007;S2
SI;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.093;2007;S2
SK;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.1152;2007;S2
TR;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.0764;2007;S2
UK;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S2;0.1411;2007;S2
AT;S;E7000;KWH5000-14999;KWH;I_TAX;EUR;2007-S2;0.1614;2007;S2
